	labels	x	y
spot_102	clone_2	3	25
spot_103	clone_2	3	27
spot_104	clone_2	3	29
spot_105	clone_2	3	31
spot_106	clone_2	3	33
spot_107	clone_2	3	35
spot_108	clone_2	3	37
spot_109	clone_2	3	39
spot_110	clone_2	3	41
spot_111	clone_2	3	43
spot_112	clone_2	3	45
spot_113	clone_2	3	47
spot_114	normal	3	49
spot_115	normal	3	51
spot_116	normal	3	53
spot_117	normal	3	55
spot_118	normal	3	57
spot_119	normal	3	59
spot_120	clone_2	4	0
spot_121	clone_2	4	2
spot_122	clone_2	4	4
spot_123	clone_2	4	6
spot_124	clone_2	4	8
spot_125	clone_2	4	10
spot_126	clone_2	4	12
spot_127	clone_2	4	14
spot_128	clone_2	4	16
spot_129	clone_2	4	18
spot_130	clone_2	4	20
spot_131	clone_2	4	22
spot_132	clone_2	4	24
spot_133	clone_2	4	26
spot_134	clone_2	4	28
spot_135	clone_2	4	30
spot_136	clone_2	4	32
spot_137	clone_2	4	34
spot_138	clone_2	4	36
spot_139	clone_2	4	38
spot_140	clone_2	4	40
spot_141	clone_2	4	42
spot_142	clone_2	4	44
spot_143	clone_2	4	46
spot_144	normal	4	48
spot_145	normal	4	50
spot_146	normal	4	52
spot_147	normal	4	54
spot_148	normal	4	56
spot_149	normal	4	58
spot_150	clone_2	5	1
spot_151	clone_2	5	3
spot_152	clone_2	5	5
spot_153	clone_2	5	7
spot_154	clone_2	5	9
spot_155	clone_2	5	11
spot_156	clone_2	5	13
spot_157	clone_2	5	15
spot_158	clone_2	5	17
spot_159	clone_2	5	19
spot_160	clone_2	5	21
spot_161	clone_2	5	23
spot_162	clone_2	5	25
spot_163	clone_2	5	27
spot_164	clone_2	5	29
spot_165	clone_2	5	31
spot_166	clone_2	5	33
spot_167	clone_2	5	35
spot_168	clone_2	5	37
spot_169	clone_2	5	39
spot_170	clone_2	5	41
spot_171	clone_2	5	43
spot_172	clone_2	5	45
spot_173	clone_2	5	47
spot_174	normal	5	49
spot_175	normal	5	51
spot_176	normal	5	53
spot_177	normal	5	55
spot_178	normal	5	57
spot_179	normal	5	59
spot_180	clone_2	6	0
spot_181	clone_2	6	2
spot_182	clone_2	6	4
spot_183	clone_2	6	6
spot_184	clone_2	6	8
spot_185	clone_2	6	10
spot_186	clone_2	6	12
spot_187	clone_2	6	14
spot_188	clone_2	6	16
spot_189	clone_2	6	18
spot_190	clone_2	6	20
spot_191	clone_2	6	22
spot_192	clone_2	6	24
spot_193	clone_2	6	26
spot_194	clone_2	6	28
spot_195	clone_2	6	30
spot_196	clone_2	6	32
spot_197	clone_2	6	34
spot_198	clone_2	6	36
spot_199	clone_2	6	38
spot_200	clone_2	6	40
spot_201	clone_2	6	42
spot_202	clone_2	6	44
spot_203	clone_2	6	46
spot_204	normal	6	48
spot_205	normal	6	50
spot_206	normal	6	52
spot_207	normal	6	54
spot_208	normal	6	56
spot_209	normal	6	58
spot_210	clone_2	7	1
spot_211	clone_2	7	3
spot_212	clone_2	7	5
spot_213	clone_2	7	7
spot_214	clone_2	7	9
spot_215	clone_2	7	11
spot_216	clone_2	7	13
spot_217	clone_2	7	15
spot_218	clone_2	7	17
spot_219	clone_2	7	19
spot_220	clone_2	7	21
spot_221	clone_2	7	23
spot_222	clone_2	7	25
spot_223	clone_2	7	27
spot_224	clone_2	7	29
spot_225	clone_2	7	31
spot_226	clone_2	7	33
spot_227	clone_2	7	35
spot_228	clone_2	7	37
spot_229	clone_2	7	39
spot_230	clone_2	7	41
spot_231	clone_2	7	43
spot_232	clone_2	7	45
spot_233	normal	7	47
spot_234	normal	7	49
spot_235	normal	7	51
spot_236	normal	7	53
spot_237	normal	7	55
spot_238	normal	7	57
spot_239	normal	7	59
spot_240	clone_2	8	0
spot_241	clone_2	8	2
spot_242	clone_2	8	4
spot_243	clone_2	8	6
spot_244	clone_2	8	8
spot_245	clone_2	8	10
spot_246	clone_2	8	12
spot_247	clone_2	8	14
spot_248	clone_2	8	16
spot_249	clone_2	8	18
spot_250	clone_2	8	20
spot_251	clone_2	8	22
spot_252	clone_2	8	24
spot_253	clone_2	8	26
spot_254	clone_2	8	28
spot_255	clone_2	8	30
spot_256	clone_2	8	32
spot_257	clone_2	8	34
spot_258	clone_2	8	36
spot_259	clone_2	8	38
spot_260	clone_2	8	40
spot_261	clone_2	8	42
spot_262	clone_2	8	44
spot_263	normal	8	46
spot_264	normal	8	48
spot_265	normal	8	50
spot_266	normal	8	52
spot_267	normal	8	54
spot_268	normal	8	56
spot_269	normal	8	58
spot_270	clone_2	9	1
spot_271	clone_2	9	3
spot_272	clone_2	9	5
spot_273	clone_2	9	7
spot_274	clone_2	9	9
spot_275	clone_2	9	11
spot_276	clone_2	9	13
spot_277	clone_2	9	15
spot_278	clone_2	9	17
spot_279	clone_2	9	19
spot_280	clone_2	9	21
spot_281	clone_2	9	23
spot_282	clone_2	9	25
spot_283	clone_2	9	27
spot_284	clone_2	9	29
spot_285	clone_2	9	31
spot_286	clone_2	9	33
spot_287	clone_2	9	35
spot_288	clone_2	9	37
spot_289	clone_2	9	39
spot_290	clone_2	9	41
spot_291	clone_2	9	43
spot_292	clone_2	9	45
spot_293	normal	9	47
spot_294	normal	9	49
spot_295	normal	9	51
spot_296	normal	9	53
spot_297	normal	9	55
spot_298	normal	9	57
spot_299	normal	9	59
spot_300	clone_2	10	0
spot_301	clone_2	10	2
spot_302	clone_2	10	4
spot_303	clone_2	10	6
spot_304	clone_2	10	8
spot_305	clone_2	10	10
spot_306	clone_2	10	12
spot_307	clone_2	10	14
spot_308	clone_2	10	16
spot_309	clone_2	10	18
spot_310	clone_2	10	20
spot_311	clone_2	10	22
spot_312	clone_2	10	24
spot_313	clone_2	10	26
spot_314	clone_2	10	28
spot_315	clone_2	10	30
spot_316	clone_2	10	32
spot_317	clone_2	10	34
spot_318	clone_2	10	36
spot_319	clone_2	10	38
spot_320	clone_2	10	40
spot_321	clone_2	10	42
spot_322	clone_2	10	44
spot_323	normal	10	46
spot_324	normal	10	48
spot_325	normal	10	50
spot_326	normal	10	52
spot_327	normal	10	54
spot_328	normal	10	56
spot_329	normal	10	58
spot_330	clone_2	11	1
spot_331	clone_2	11	3
spot_332	clone_2	11	5
spot_333	clone_2	11	7
spot_334	clone_2	11	9
spot_335	clone_2	11	11
spot_336	clone_2	11	13
spot_337	clone_2	11	15
spot_338	clone_2	11	17
spot_339	clone_2	11	19
spot_340	clone_2	11	21
spot_341	clone_2	11	23
spot_342	clone_2	11	25
spot_343	clone_2	11	27
spot_344	clone_2	11	29
spot_345	clone_2	11	31
spot_346	clone_2	11	33
spot_347	clone_2	11	35
spot_348	clone_2	11	37
spot_349	clone_2	11	39
spot_350	clone_2	11	41
spot_351	clone_2	11	43
spot_352	normal	11	45
spot_353	normal	11	47
spot_354	normal	11	49
spot_355	normal	11	51
spot_356	normal	11	53
spot_357	normal	11	55
spot_358	normal	11	57
spot_359	normal	11	59
spot_360	clone_2	12	0
spot_361	clone_2	12	2
spot_362	clone_2	12	4
spot_363	clone_2	12	6
spot_364	clone_2	12	8
spot_365	clone_2	12	10
spot_366	clone_2	12	12
spot_367	clone_2	12	14
spot_368	clone_2	12	16
spot_369	clone_2	12	18
spot_370	clone_2	12	20
spot_371	clone_2	12	22
spot_372	clone_2	12	24
spot_373	clone_2	12	26
spot_374	clone_2	12	28
spot_375	clone_2	12	30
spot_376	clone_2	12	32
spot_377	clone_2	12	34
spot_378	clone_2	12	36
spot_379	clone_2	12	38
spot_380	clone_2	12	40
spot_381	clone_2	12	42
spot_382	clone_2	12	44
spot_383	normal	12	46
spot_384	normal	12	48
spot_385	normal	12	50
spot_386	normal	12	52
spot_387	normal	12	54
spot_388	normal	12	56
spot_389	normal	12	58
spot_390	clone_2	13	1
spot_391	clone_2	13	3
spot_392	clone_2	13	5
spot_393	clone_2	13	7
spot_394	clone_2	13	9
spot_395	clone_2	13	11
spot_396	clone_2	13	13
spot_397	clone_2	13	15
spot_398	clone_2	13	17
spot_399	clone_2	13	19
spot_400	clone_2	13	21
spot_401	clone_2	13	23
spot_402	clone_2	13	25
spot_403	clone_2	13	27
spot_404	clone_2	13	29
spot_405	clone_2	13	31
spot_406	clone_2	13	33
spot_407	clone_2	13	35
spot_408	clone_2	13	37
spot_409	clone_2	13	39
spot_410	clone_2	13	41
spot_411	clone_2	13	43
spot_412	normal	13	45
spot_413	normal	13	47
spot_414	normal	13	49
spot_415	normal	13	51
spot_416	normal	13	53
spot_417	normal	13	55
spot_418	normal	13	57
spot_419	normal	13	59
spot_420	clone_2	14	0
spot_421	clone_2	14	2
spot_422	clone_2	14	4
spot_423	clone_2	14	6
spot_424	clone_2	14	8
spot_425	clone_2	14	10
spot_426	clone_2	14	12
spot_427	clone_2	14	14
spot_428	clone_2	14	16
spot_429	clone_2	14	18
spot_430	clone_2	14	20
spot_431	clone_2	14	22
spot_432	clone_2	14	24
spot_433	clone_2	14	26
spot_434	clone_2	14	28
spot_435	clone_2	14	30
spot_436	clone_2	14	32
spot_437	clone_2	14	34
spot_438	clone_2	14	36
spot_439	clone_2	14	38
spot_440	clone_2	14	40
spot_441	clone_2	14	42
spot_442	normal	14	44
spot_443	normal	14	46
spot_444	normal	14	48
spot_445	normal	14	50
spot_446	normal	14	52
spot_447	normal	14	54
spot_448	normal	14	56
spot_449	normal	14	58
spot_450	clone_2	15	1
spot_451	clone_2	15	3
spot_452	clone_2	15	5
spot_453	clone_2	15	7
spot_454	clone_2	15	9
spot_455	clone_2	15	11
spot_456	clone_2	15	13
spot_457	clone_2	15	15
spot_458	clone_2	15	17
spot_459	clone_2	15	19
spot_460	clone_2	15	21
spot_461	clone_2	15	23
spot_462	clone_2	15	25
spot_463	clone_2	15	27
spot_464	clone_2	15	29
spot_465	clone_2	15	31
spot_466	clone_2	15	33
spot_467	clone_2	15	35
spot_468	clone_2	15	37
spot_469	clone_2	15	39
spot_470	clone_2	15	41
spot_471	clone_2	15	43
spot_472	normal	15	45
spot_473	normal	15	47
spot_474	normal	15	49
spot_475	normal	15	51
spot_476	normal	15	53
spot_477	normal	15	55
spot_478	normal	15	57
spot_479	normal	15	59
spot_480	clone_2	16	0
spot_481	clone_2	16	2
spot_482	clone_2	16	4
spot_483	clone_2	16	6
spot_484	clone_2	16	8
spot_485	clone_2	16	10
spot_486	clone_2	16	12
spot_487	clone_2	16	14
spot_488	clone_2	16	16
spot_489	clone_2	16	18
spot_490	clone_2	16	20
spot_491	clone_2	16	22
spot_492	clone_2	16	24
spot_493	clone_2	16	26
spot_494	clone_2	16	28
spot_495	clone_2	16	30
spot_496	clone_2	16	32
spot_497	clone_2	16	34
spot_498	clone_2	16	36
spot_499	clone_2	16	38
spot_500	clone_2	16	40
spot_501	clone_2	16	42
spot_502	normal	16	44
spot_503	normal	16	46
spot_504	normal	16	48
spot_505	normal	16	50
spot_506	normal	16	52
spot_507	normal	16	54
spot_508	normal	16	56
spot_509	normal	16	58
spot_510	clone_2	17	1
spot_511	clone_2	17	3
spot_512	clone_2	17	5
spot_513	clone_2	17	7
spot_514	clone_2	17	9
spot_515	clone_2	17	11
spot_516	clone_2	17	13
spot_517	clone_2	17	15
spot_518	clone_2	17	17
spot_519	clone_2	17	19
spot_520	clone_2	17	21
spot_521	clone_2	17	23
spot_522	clone_2	17	25
spot_523	clone_2	17	27
spot_524	clone_2	17	29
spot_525	clone_2	17	31
spot_526	clone_2	17	33
spot_527	clone_2	17	35
spot_528	clone_2	17	37
spot_529	clone_2	17	39
spot_530	clone_2	17	41
spot_531	normal	17	43
spot_532	normal	17	45
spot_533	normal	17	47
spot_534	normal	17	49
spot_535	normal	17	51
spot_536	normal	17	53
spot_537	normal	17	55
spot_538	normal	17	57
spot_539	normal	17	59
spot_540	clone_2	18	0
spot_541	clone_2	18	2
spot_542	clone_2	18	4
spot_543	clone_2	18	6
spot_544	clone_2	18	8
spot_545	clone_2	18	10
spot_546	clone_2	18	12
spot_547	clone_2	18	14
spot_548	clone_2	18	16
spot_549	clone_2	18	18
spot_550	clone_2	18	20
spot_551	clone_2	18	22
spot_552	clone_2	18	24
spot_553	clone_2	18	26
spot_554	clone_2	18	28
spot_555	clone_2	18	30
spot_556	clone_2	18	32
spot_557	clone_2	18	34
spot_558	clone_2	18	36
spot_559	clone_2	18	38
spot_560	clone_2	18	40
spot_561	normal	18	42
spot_562	normal	18	44
spot_563	normal	18	46
spot_564	normal	18	48
spot_565	normal	18	50
spot_566	normal	18	52
spot_567	normal	18	54
spot_568	normal	18	56
spot_569	normal	18	58
spot_570	clone_2	19	1
spot_571	clone_2	19	3
spot_572	clone_2	19	5
spot_573	clone_2	19	7
spot_574	clone_2	19	9
spot_575	clone_2	19	11
spot_576	clone_2	19	13
spot_577	clone_2	19	15
spot_578	clone_2	19	17
spot_579	clone_2	19	19
spot_580	clone_2	19	21
spot_581	clone_2	19	23
spot_582	clone_2	19	25
spot_583	clone_2	19	27
spot_584	clone_2	19	29
spot_585	clone_2	19	31
spot_586	clone_2	19	33
spot_587	clone_2	19	35
spot_588	clone_2	19	37
spot_589	clone_2	19	39
spot_590	clone_2	19	41
spot_591	normal	19	43
spot_592	normal	19	45
spot_593	normal	19	47
spot_594	normal	19	49
spot_595	normal	19	51
spot_596	normal	19	53
spot_597	normal	19	55
spot_598	normal	19	57
spot_599	normal	19	59
spot_600	clone_2	20	0
spot_601	clone_2	20	2
spot_602	clone_2	20	4
spot_603	clone_2	20	6
spot_604	clone_2	20	8
spot_605	clone_2	20	10
spot_606	clone_2	20	12
spot_607	clone_2	20	14
spot_608	clone_2	20	16
spot_609	clone_2	20	18
spot_610	clone_2	20	20
spot_611	clone_2	20	22
spot_612	clone_2	20	24
spot_613	clone_2	20	26
spot_614	clone_2	20	28
spot_615	clone_2	20	30
spot_616	clone_2	20	32
spot_617	clone_2	20	34
spot_618	clone_2	20	36
spot_619	clone_2	20	38
spot_620	clone_2	20	40
spot_621	normal	20	42
spot_622	normal	20	44
spot_623	normal	20	46
spot_624	normal	20	48
spot_625	normal	20	50
spot_626	normal	20	52
spot_627	normal	20	54
spot_628	normal	20	56
spot_629	normal	20	58
spot_630	clone_2	21	1
spot_631	clone_2	21	3
spot_632	clone_2	21	5
spot_633	clone_2	21	7
spot_634	clone_2	21	9
spot_635	clone_2	21	11
spot_636	clone_2	21	13
spot_637	clone_2	21	15
spot_638	clone_2	21	17
spot_639	clone_2	21	19
spot_640	clone_2	21	21
spot_641	clone_2	21	23
spot_642	clone_2	21	25
spot_643	clone_2	21	27
spot_644	clone_2	21	29
spot_645	clone_2	21	31
spot_646	clone_2	21	33
spot_647	clone_2	21	35
spot_648	clone_2	21	37
spot_649	clone_2	21	39
spot_650	normal	21	41
spot_651	normal	21	43
spot_652	normal	21	45
spot_653	normal	21	47
spot_654	normal	21	49
spot_655	normal	21	51
spot_656	normal	21	53
spot_657	normal	21	55
spot_658	normal	21	57
spot_659	normal	21	59
spot_660	clone_2	22	0
spot_661	clone_2	22	2
spot_662	clone_2	22	4
spot_663	clone_2	22	6
spot_664	clone_2	22	8
spot_665	clone_2	22	10
spot_666	clone_2	22	12
spot_667	clone_2	22	14
spot_668	clone_2	22	16
spot_669	clone_2	22	18
spot_670	clone_2	22	20
spot_671	clone_2	22	22
spot_672	clone_2	22	24
spot_673	clone_2	22	26
spot_674	clone_2	22	28
spot_675	clone_2	22	30
spot_676	clone_2	22	32
spot_677	clone_2	22	34
spot_678	clone_2	22	36
spot_679	clone_2	22	38
spot_680	clone_2	22	40
spot_681	normal	22	42
spot_682	normal	22	44
spot_683	normal	22	46
spot_684	normal	22	48
spot_685	normal	22	50
spot_686	normal	22	52
spot_687	normal	22	54
spot_688	normal	22	56
spot_689	normal	22	58
spot_690	clone_2	23	1
spot_691	clone_2	23	3
spot_692	clone_2	23	5
spot_693	clone_2	23	7
spot_694	clone_2	23	9
spot_695	clone_2	23	11
spot_696	clone_2	23	13
spot_697	clone_2	23	15
spot_698	clone_2	23	17
spot_699	clone_2	23	19
spot_700	clone_2	23	21
spot_701	clone_2	23	23
spot_702	clone_2	23	25
spot_703	clone_2	23	27
spot_704	clone_2	23	29
spot_705	clone_2	23	31
spot_706	clone_2	23	33
spot_707	clone_2	23	35
spot_708	clone_2	23	37
spot_709	clone_2	23	39
spot_710	normal	23	41
spot_711	normal	23	43
spot_712	normal	23	45
spot_713	normal	23	47
spot_714	normal	23	49
spot_715	normal	23	51
spot_716	normal	23	53
spot_717	normal	23	55
spot_718	normal	23	57
spot_719	normal	23	59
spot_720	clone_2	24	0
spot_721	clone_2	24	2
spot_722	clone_2	24	4
spot_723	clone_2	24	6
spot_724	clone_2	24	8
spot_725	clone_2	24	10
spot_726	clone_2	24	12
spot_727	clone_2	24	14
spot_728	clone_2	24	16
spot_729	clone_2	24	18
spot_730	clone_2	24	20
spot_731	clone_2	24	22
spot_732	clone_2	24	24
spot_733	clone_2	24	26
spot_734	clone_2	24	28
spot_735	clone_2	24	30
spot_736	clone_2	24	32
spot_737	clone_2	24	34
spot_738	clone_2	24	36
spot_739	clone_2	24	38
spot_740	normal	24	40
spot_741	normal	24	42
spot_742	normal	24	44
spot_743	normal	24	46
spot_744	normal	24	48
spot_745	normal	24	50
spot_746	normal	24	52
spot_747	normal	24	54
spot_748	normal	24	56
spot_749	normal	24	58
spot_750	clone_2	25	1
spot_751	clone_2	25	3
spot_752	clone_2	25	5
spot_753	clone_2	25	7
spot_754	clone_2	25	9
spot_755	clone_2	25	11
spot_756	clone_2	25	13
spot_757	clone_2	25	15
spot_758	clone_2	25	17
spot_759	clone_2	25	19
spot_760	clone_2	25	21
spot_761	clone_2	25	23
spot_762	clone_2	25	25
spot_763	clone_2	25	27
spot_764	clone_2	25	29
spot_765	clone_2	25	31
spot_766	clone_2	25	33
spot_767	clone_2	25	35
spot_768	clone_2	25	37
spot_769	clone_2	25	39
spot_770	normal	25	41
spot_771	normal	25	43
spot_772	normal	25	45
spot_773	normal	25	47
spot_774	normal	25	49
spot_775	normal	25	51
spot_776	normal	25	53
spot_777	normal	25	55
spot_778	normal	25	57
spot_779	normal	25	59
spot_780	clone_2	26	0
spot_781	clone_2	26	2
spot_782	clone_2	26	4
spot_783	clone_2	26	6
spot_784	clone_2	26	8
spot_785	clone_2	26	10
spot_786	clone_2	26	12
spot_787	clone_2	26	14
spot_788	clone_2	26	16
spot_789	clone_2	26	18
spot_790	clone_2	26	20
spot_791	clone_2	26	22
spot_792	clone_2	26	24
spot_793	clone_2	26	26
spot_794	clone_2	26	28
spot_795	clone_2	26	30
spot_796	clone_2	26	32
spot_797	clone_2	26	34
spot_798	clone_2	26	36
spot_799	clone_2	26	38
spot_800	normal	26	40
spot_801	normal	26	42
spot_802	normal	26	44
spot_803	normal	26	46
spot_804	normal	26	48
spot_805	normal	26	50
spot_806	normal	26	52
spot_807	normal	26	54
spot_808	normal	26	56
spot_809	normal	26	58
spot_810	clone_2	27	1
spot_811	clone_2	27	3
spot_812	clone_2	27	5
spot_813	clone_2	27	7
spot_814	clone_2	27	9
spot_815	clone_2	27	11
spot_816	clone_2	27	13
spot_817	clone_2	27	15
spot_818	clone_2	27	17
spot_819	clone_2	27	19
spot_820	clone_2	27	21
spot_821	clone_2	27	23
spot_822	clone_2	27	25
spot_823	clone_2	27	27
spot_824	clone_2	27	29
spot_825	clone_2	27	31
spot_826	clone_2	27	33
spot_827	clone_2	27	35
spot_828	clone_2	27	37
spot_829	normal	27	39
spot_830	normal	27	41
spot_831	normal	27	43
spot_832	normal	27	45
spot_833	normal	27	47
spot_834	normal	27	49
spot_835	normal	27	51
spot_836	normal	27	53
spot_837	normal	27	55
spot_838	normal	27	57
spot_839	normal	27	59
spot_840	clone_2	28	0
spot_841	clone_2	28	2
spot_842	clone_2	28	4
spot_843	clone_2	28	6
spot_844	clone_2	28	8
spot_845	clone_2	28	10
spot_846	clone_2	28	12
spot_847	clone_2	28	14
spot_848	clone_2	28	16
spot_849	clone_2	28	18
spot_850	clone_2	28	20
spot_851	clone_2	28	22
spot_852	clone_2	28	24
spot_853	clone_2	28	26
spot_854	clone_2	28	28
spot_855	clone_2	28	30
spot_856	clone_2	28	32
spot_857	clone_2	28	34
spot_858	clone_2	28	36
spot_859	normal	28	38
spot_860	normal	28	40
spot_861	normal	28	42
spot_862	normal	28	44
spot_863	normal	28	46
spot_864	normal	28	48
spot_865	normal	28	50
spot_866	normal	28	52
spot_867	normal	28	54
spot_868	normal	28	56
spot_869	normal	28	58
spot_870	clone_2	29	1
spot_871	clone_2	29	3
spot_872	clone_2	29	5
spot_873	clone_2	29	7
spot_874	clone_2	29	9
spot_875	clone_2	29	11
spot_876	clone_2	29	13
spot_877	clone_2	29	15
spot_878	clone_2	29	17
spot_879	clone_2	29	19
spot_880	clone_2	29	21
spot_881	clone_2	29	23
spot_882	clone_2	29	25
spot_883	clone_2	29	27
spot_884	clone_2	29	29
spot_885	clone_2	29	31
spot_886	clone_2	29	33
spot_887	clone_2	29	35
spot_888	clone_2	29	37
spot_889	normal	29	39
spot_890	normal	29	41
spot_891	normal	29	43
spot_892	normal	29	45
spot_893	normal	29	47
spot_894	normal	29	49
spot_895	normal	29	51
spot_896	normal	29	53
spot_897	normal	29	55
spot_898	normal	29	57
spot_899	normal	29	59
spot_900	clone_2	30	0
spot_901	clone_2	30	2
spot_902	clone_2	30	4
spot_903	clone_2	30	6
spot_904	clone_2	30	8
spot_905	clone_2	30	10
spot_906	clone_2	30	12
spot_907	clone_2	30	14
spot_908	clone_2	30	16
spot_909	clone_2	30	18
spot_910	clone_2	30	20
spot_911	clone_2	30	22
spot_912	clone_2	30	24
spot_913	clone_2	30	26
spot_914	clone_2	30	28
spot_915	clone_2	30	30
spot_916	clone_2	30	32
spot_917	clone_2	30	34
spot_918	clone_2	30	36
spot_919	normal	30	38
spot_920	normal	30	40
spot_921	normal	30	42
spot_922	normal	30	44
spot_923	normal	30	46
spot_924	normal	30	48
spot_925	normal	30	50
spot_926	normal	30	52
spot_927	normal	30	54
spot_928	normal	30	56
spot_929	normal	30	58
spot_930	clone_2	31	1
spot_931	clone_2	31	3
spot_932	clone_2	31	5
spot_933	clone_2	31	7
spot_934	clone_2	31	9
spot_935	clone_2	31	11
spot_936	clone_2	31	13
spot_937	clone_2	31	15
spot_938	clone_2	31	17
spot_939	clone_2	31	19
spot_940	clone_2	31	21
spot_941	clone_2	31	23
spot_942	clone_2	31	25
spot_943	clone_2	31	27
spot_944	clone_2	31	29
spot_945	clone_2	31	31
spot_946	clone_2	31	33
spot_947	clone_2	31	35
spot_948	normal	31	37
spot_949	normal	31	39
spot_950	normal	31	41
spot_951	normal	31	43
spot_952	normal	31	45
spot_953	normal	31	47
spot_954	normal	31	49
spot_955	normal	31	51
spot_956	normal	31	53
spot_957	normal	31	55
spot_958	normal	31	57
spot_959	normal	31	59
spot_960	clone_2	32	0
spot_961	clone_2	32	2
spot_962	clone_2	32	4
spot_963	clone_2	32	6
spot_964	clone_2	32	8
spot_965	clone_2	32	10
spot_966	clone_2	32	12
spot_967	clone_2	32	14
spot_968	clone_2	32	16
spot_969	clone_2	32	18
spot_970	clone_2	32	20
spot_971	clone_2	32	22
spot_972	clone_2	32	24
spot_973	clone_2	32	26
spot_974	clone_2	32	28
spot_975	clone_2	32	30
spot_976	clone_2	32	32
spot_977	clone_2	32	34
spot_978	clone_2	32	36
spot_979	normal	32	38
spot_980	normal	32	40
spot_981	normal	32	42
spot_982	normal	32	44
spot_983	normal	32	46
spot_984	normal	32	48
spot_985	normal	32	50
spot_986	normal	32	52
spot_987	normal	32	54
spot_988	normal	32	56
spot_989	normal	32	58
spot_990	clone_2	33	1
spot_991	clone_2	33	3
spot_992	clone_2	33	5
spot_993	clone_2	33	7
spot_994	clone_2	33	9
spot_995	clone_2	33	11
spot_996	clone_2	33	13
spot_997	clone_2	33	15
spot_998	clone_2	33	17
spot_999	clone_2	33	19
spot_1000	clone_2	33	21
spot_1001	clone_2	33	23
spot_1002	clone_2	33	25
spot_1003	clone_2	33	27
spot_1004	clone_2	33	29
spot_1005	clone_2	33	31
spot_1006	clone_2	33	33
spot_1007	clone_2	33	35
spot_1008	normal	33	37
spot_1009	normal	33	39
spot_1010	normal	33	41
spot_1011	normal	33	43
spot_1012	normal	33	45
spot_1013	normal	33	47
spot_1014	normal	33	49
spot_1015	normal	33	51
spot_1016	normal	33	53
spot_1017	normal	33	55
spot_1018	normal	33	57
spot_1019	normal	33	59
spot_1020	clone_2	34	0
spot_1021	clone_2	34	2
spot_1022	clone_2	34	4
spot_1023	clone_2	34	6
spot_1024	clone_2	34	8
spot_1025	clone_2	34	10
spot_1026	clone_2	34	12
spot_1027	clone_2	34	14
spot_1028	clone_2	34	16
spot_1029	clone_2	34	18
spot_1030	clone_2	34	20
spot_1031	clone_2	34	22
spot_1032	clone_2	34	24
spot_1033	clone_2	34	26
spot_1034	clone_2	34	28
spot_1035	clone_2	34	30
spot_1036	clone_2	34	32
